Country,Count
China,1350
India,813
United States of America,713
Indonesia,564
Philippines,471
Nigeria,439
Pakistan,321
Russian Federation,306
Democratic Republic of the Congo,301
Bangladesh,276
Iran (Islamic Republic of),268
Brazil,264
Mexico,263
Peru,238
Viet Nam,237
South Africa,223
Afghanistan,215
Türkiye,203
Colombia,199
Japan,198
Egypt,179
Thailand,177
Kenya,174
Italy,159
Uganda,156
United Republic of Tanzania,151
France,144
Nepal,143
Australia,138
Haiti,130
Sudan,124
Argentina,117
Guatemala,115
Bolivia (Plurinational State of),113
Mozambique,110
Ethiopia,105
Greece,102
Malaysia,101
Republic of Korea,101
Spain,100
Angola,99
Morocco,99
Algeria,98
Ecuador,97
Canada,97
Yemen,96
Sri Lanka,95
Somalia,95
Taiwan (Province of China),89
Madagascar,89
Cameroon,86
Myanmar,85
Niger,85
Zimbabwe,85
Romania,83
Germany,83
Chile,83
Malawi,81
Ukraine,80
Guinea,79
Honduras,74
United Kingdom of Great Britain and Northern Ireland,73
Libya,72
Mali,72
Senegal,71
Dominican Republic,71
Zambia,70
Burundi,70
Venezuela (Bolivarian Republic of),68
Ghana,68
Central African Republic,67
Papua New Guinea,63
Tajikistan,63
Burkina Faso,62
Cuba,61
Saudi Arabia,61
Poland,61
El Salvador,59
Nicaragua,53
Panama,52
Tunisia,52
Rwanda,51
Bulgaria,50
Iraq,49
Chad,48
Benin,47
Côte d’Ivoire,47
Paraguay,45
Congo,45
Cambodia,44
Belgium,44
Mauritania,43
Costa Rica,43
New Zealand,43
Democratic People's Republic of Korea,43
Portugal,43
Syrian Arab Republic,41
Switzerland,40
Sierra Leone,38
Czechia,37
Lao People's Democratic Republic,36
Kazakhstan,36
Uruguay,36
Croatia,36
Bosnia and Herzegovina,35
Serbia,34
Mongolia,34
Hungary,34
South Sudan,34
Austria,33
Kyrgyzstan,33
Namibia,32
Albania,31
Netherlands (Kingdom of the),30
Slovakia,30
Fiji,30
Comoros,29
Togo,28
Puerto Rico,27
Vanuatu,27
Georgia,27
North Macedonia,27
Gambia,25
Guinea-Bissau,23
"China, Hong Kong Special Administrative Region",23
Liberia,23
Djibouti,23
Jamaica,22
Solomon Islands,22
Gabon,21
Lebanon,20
Bahamas,20
Oman,20
Azerbaijan,17
Jordan,17
Lesotho,17
Equatorial Guinea,16
Serbia Montenegro,16
Eswatini,16
Ireland,16
Botswana,15
Israel,15
Slovenia,15
Canary Islands,15
Belize,15
Tonga,15
Saint Vincent and the Grenadines,14
Timor-Leste,13
Lithuania,13
Cyprus,13
Norway,13
Republic of Moldova,13
Cabo Verde,12
Armenia,12
Latvia,12
United Arab Emirates,12
Denmark,11
Maldives,11
Saint Lucia,11
Montenegro,10
Malta,10
State of Palestine,10
Uzbekistan,10
Belarus,10
Micronesia (Federated States of),10
Sweden,10
Réunion,9
Mauritius,9
Barbados,9
Marshall Islands,9
Samoa,8
Estonia,8
Guyana,8
Luxembourg,7
Turks and Caicos Islands,7
Cayman Islands,7
Seychelles,7
Suriname,7
Bhutan,7
Trinidad and Tobago,6
Guadeloupe,6
Iceland,5
Tuvalu,5
Qatar,5
Eritrea,5
Martinique,5
Palau,5
Bahrain,5
Sao Tome and Principe,5
Dominica,5
Guam,5
Grenada,5
Northern Mariana Islands,5
Kiribati,4
Kuwait,4
Cook Islands,4
Mayotte,4
American Samoa,4
Finland,4
French Polynesia,3
Antigua and Barbuda,3
"China, Macao Special Administrative Region",3
Singapore,3
United States Virgin Islands,3
New Caledonia,3
French Guiana,2
Bermuda,2
British Virgin Islands,2
Saint Kitts and Nevis,2
Turkmenistan,2
Netherlands Antilles,1
Saint Helena,1
Niue,1
Montserrat,1
Tokelau,1
Wallis and Futuna Islands,1
Anguilla,1
Saint Martin (French Part),1
Saint Barthélemy,1
Sint Maarten (Dutch part),1
Curaçao,1
Isle of Man,1
Liechtenstein,1
